question,answer
What is AI?, AI stands for Artificial Intelligence and enables machines to simulate human intelligence.
What are the types of AI? , The main types are narrow AI general AI and super AI.
What is generative AI?,Generative AI creates content such as text images audio or code.
What is Python?,	Python is a high-level programming language.
What is a list in Python?,	A list stores multiple items in a single variable.
What is a dictionary in Python?,	A dictionary stores key-value pairs.
What is Machine Learning?,	Machine Learning enables systems to learn from data.
What is supervised learning?	,Supervised learning trains using labeled data.
What is unsupervised learning?,	Unsupervised learning finds patterns in unlabeled data.
What is NLP?,	NLP stands for Natural Language Processing.
What is tokenization?,	Tokenization splits text into smaller pieces.
What is stemming?,	Stemming reduces words to root forms.
What is Data Science?,	Data Science extracts insights from data.
What is data cleaning?,	Data cleaning removes errors and inconsistencies.
What is data visualization?,	Data visualization presents data graphically.
What is a variable?,	A variable stores data.
What is a loop?,	A loop repeats a block of code.
What is a function?,	A function is reusable code performing a specific task.
What is a chatbot?,	A chatbot is software designed to simulate conversation.
How do chatbots work?,	Chatbots use rules or AI models to generate responses.
What is an FAQ chatbot?,	An FAQ chatbot answers predefined questions.
What are the advantages of AI topic 1?,	AI advantages include practical understanding real-world usage and foundational concepts.
What are the advantages of AI topic 2?,	AI advantages include practical understanding real-world usage and foundational concepts.
What are the advantages of AI topic 3?,	AI advantages include practical understanding real-world usage and foundational concepts.
What are the applications of AI topic 1?,	AI applications include practical understanding real-world usage and foundational concepts.
What are the applications of AI topic 2?,	AI applications include practical understanding real-world usage and foundational concepts.
What are the applications of AI topic 3?,	AI applications include practical understanding real-world usage and foundational concepts.
What are the importance of AI topic 1?,	AI importance include practical understanding real-world usage and foundational concepts.
What are the importance of AI topic 2?,	AI importance include practical understanding real-world usage and foundational concepts.
What are the importance of AI topic 3?,	AI importance include practical understanding real-world usage and foundational concepts.
What are the examples of AI topic 1?,	AI examples include practical understanding real-world usage and foundational concepts.
What are the examples of AI topic 2?,	AI examples include practical understanding real-world usage and foundational concepts.
What are the examples of AI topic 3?,	AI examples include practical understanding real-world usage and foundational concepts.
What are the benefits of AI topic 1?,	AI benefits include practical understanding real-world usage and foundational concepts.
What are the benefits of AI topic 2?,	AI benefits include practical understanding real-world usage and foundational concepts.
What are the benefits of AI topic 3?,	AI benefits include practical understanding real-world usage and foundational concepts.
What are the future of AI topic 1?,	AI future include practical understanding real-world usage and foundational concepts.
What are the future of AI topic 2?,	AI future include practical understanding real-world usage and foundational concepts.
What are the future of AI topic 3?,	AI future include practical understanding real-world usage and foundational concepts.
What are the limitations of AI topic 1?,	AI limitations include practical understanding real-world usage and foundational concepts.
What are the limitations of AI topic 2?	,AI limitations include practical understanding real-world usage and foundational concepts.
What are the limitations of AI topic 3?,	AI limitations include practical understanding real-world usage and foundational concepts.
What are the working principle of AI topic 1?,	AI working principle include practical understanding real-world usage and foundational concepts.
What are the working principle of AI topic 2?,	AI working principle include practical understanding real-world usage and foundational concepts.
What are the working principle of AI topic 3?,	AI working principle include practical understanding real-world usage and foundational concepts.
What are the use cases of AI topic 1?,	AI use cases include practical understanding real-world usage and foundational concepts.
What are the use cases of AI topic 2?,	AI use cases include practical understanding real-world usage and foundational concepts.
What are the use cases of AI topic 3?,	AI use cases include practical understanding real-world usage and foundational concepts.
What are the challenges of AI topic 1?,	AI challenges include practical understanding real-world usage and foundational concepts.
What are the challenges of AI topic 2?,	AI challenges include practical understanding real-world usage and foundational concepts.
What are the challenges of AI topic 3?,	AI challenges include practical understanding real-world usage and foundational concepts.
What are the advantages of Python topic 1?,	Python advantages include practical understanding real-world usage and foundational concepts.
What are the advantages of Python topic 2?,	Python advantages include practical understanding real-world usage and foundational concepts.
What are the advantages of Python topic 3?,	Python advantages include practical understanding real-world usage and foundational concepts.
What are the applications of Python topic 1?,	Python applications include practical understanding real-world usage and foundational concepts.
What are the applications of Python topic 2?,	Python applications include practical understanding real-world usage and foundational concepts.
What are the applications of Python topic 3?,	Python applications include practical understanding real-world usage and foundational concepts.
What are the importance of Python topic 1?,	Python importance include practical understanding real-world usage and foundational concepts.
What are the importance of Python topic 2?,	Python importance include practical understanding real-world usage and foundational concepts.
What are the importance of Python topic 3?,	Python importance include practical understanding real-world usage and foundational concepts.
What are the examples of Python topic 1?,	Python examples include practical understanding real-world usage and foundational concepts.
What are the examples of Python topic 2?,	Python examples include practical understanding real-world usage and foundational concepts.
